text,llm_predict_value,llm_confidence,ground_truth
Whatever you choose or what the other people are willing to give up .,20.0,0.0,47.0
"Since losing her job, she has not been able to find a new position anywhere.",60.0,0.0,47.0
Now the attys .,12.0,72.0,17.0
I didn't expect it would be so hard to get around but you kind of get used to it.,20.0,65.0,33.0
So just what are the grey 's porpoise ?,42.0,95.0,20.0
Looks and features Hey .,15.0,75.0,6.0
Keep up the good work and if we may be of any assistance to you please let us know .,45.0,0.0,79.0
"In June of 2000, a new Navy destroyer was christened USS Bulkeley.",75.0,60.0,70.0
-LCB- see ( I ) Time Allowed ( 4 ) -RCB- .,75.0,100.0,75.0
HuffPo readers are nothing if not the types who will willingly outsmart themselves.,25.0,70.0,40.0
There is a form at the post office to apply for a new V5 .,25.0,20.0,60.0
"* Liz Cheney caused a big stir yesterday by accusing Obama of visiting Dover just for the publicity, and said Bush used to honor fallen soldiers privately.",30.0,72.0,70.0
Then Mr Hoffman and Mr Arnold want to control the water of Florida to use for more development ?,32.0,0.0,58.0
"And, as always, today I will do what I believe serves their interests best.",40.0,0.0,53.0
"This is our rational to justify a supplemental budget request for the department : 1 ) Cease and desist the practice of "" Certify Forward .",70.0,0.0,97.0
But I had a lot of fun doing health education in an inner - city school .,25.0,0.0,43.0
Plz go to metromonial site ... ...,30.0,85.0,12.0
representing the bad * * * NC !,28.0,90.0,7.0
A good song should make someone go huh ?,40.0,70.0,8.0
Definitely Rush - both physically and mentally .,58.0,92.0,37.0
"i would do grace lynn , the poor baby needs a middle name !",12.0,0.0,17.0
You can just have Appetizers and cash bar .,50.0,60.0,27.0
We all have skeletons in our closet and anyone who says otherwise is lying .,28.0,82.0,37.0
It was for that story the he was presented with a Hugo Award.,25.0,70.0,60.0
Is he a believable delaying tactic until the inevitable Jules/Grayson hook-up?,28.0,80.0,17.0
"She went through a lot but she had a great sense of humour, liked to tell a joke, Butterworth told state radio, confirming Middleton's death.",40.0,0.0,63.0
"He named names as well: ""There's two commentators on Fox that really don't like Barack Obama, Glenn Beck and Sean Hannity, but the rest of us, Greta, Shepard Smith, Bret Baier, myself, we're willing to give the guy the benefit of the doubt.""",30.0,65.0,67.0
Source ( s ) : I ' m a Buffalonian transplant living in New York .,28.0,72.0,38.0
"Yes , she is a vacuous nobody .",12.0,70.0,46.0
"The 1,600 people in Ontario who build Town Cars and Grand Marquis are understandably unhappy about word that Ford intends to shutter the plant, but the Panther has cheated death more than once.",45.0,65.0,83.0
We can now place Google squarely in the software box.,40.0,95.0,53.0
A word Emily herself has uttered a million times .,72.0,90.0,60.0
"The firm will continue its ""Reed Smith University,"" which already offers 140 in-house courses.",62.0,72.0,50.0
The new version is called Internet Explorer 7 ( IE7 ) .,75.0,90.0,63.0
"Photoshop: To call this app Photoshop is almost a misnomeryou can't have anything resembling desktop Photoshop on the iPhone, but you can have a decent photo processing app:",28.0,65.0,53.0
Best advice is to `` never dip your Quill in the company ink . '',50.0,93.0,47.0
used pianos on steinway in astoria queens,12.0,70.0,43.0
So the officer dialed the funeral parlor for the embarrassed nurse .,40.0,65.0,43.0
"In Canada, people are overwhelmingly searching for costumes for two - variations on [couples costumes] dominate the top 10.",58.0,0.0,70.0
"By a majority vote the Board has recommended to Governor Bush that David Moore be appointed to take the place of Sonny Vergera , his replacement .",72.0,65.0,88.0
I made great money in the summer .,20.0,75.0,23.0
Can help it .,60.0,40.0,23.0
Your points about the phosphate severance taxes and the diminishment of the land base are well taken .,68.0,0.0,96.0
This method involves an Internet service called an anonymous proxy server .,60.0,90.0,80.0
The House negotiators accepted the Senate 's tobacco amendment without strings .,60.0,0.0,77.0
"Currently, ClubMac is offering the lowest prices on the new all-in-one desktops, with savings of between $135 and $208 after a mail-in-rebate and an exclusive 3% discount available only to AppleInsider readers.",76.0,65.0,73.0
" The main thrust this year , in such a tight budget year , is that we preserve what we have with the state ,  he explained outside the meeting .",28.0,65.0,75.0
"Where I come from people don't get many chances to do things like this, she explained during a smoke break.",20.0,0.0,37.0
"Clam Bay , which is a designated NIRPA , is listed among numerous bodies of water which Judge Robert Meale and the State DEP have found to be in violation of water - quality standards .",60.0,0.0,87.0
"but I did n't really mean them , and I probably didn ' t then ) .",42.0,85.0,12.0
"Should I share , or censor and share , or not share ?",78.0,60.0,43.0
Emergency workers called to the scene were quoted as saying they believed he was already dead when they arrived.,70.0,0.0,80.0
Vultures Are Stupid Unless Dogs Have Ass lol .,15.0,0.0,3.0
A study by the Lewin Group estimates that 88 million Americans would lose their private insurance if a government competitor is created.,72.0,82.0,83.0
"The State has made a tremendous effort to improve facilities , traffic flow and to manage for the people this spectacular site .",60.0,70.0,92.0
"I Adore Mi Amor , Color Me Badd 19 .",18.0,0.0,27.0
"CFM is cubic feet per minute , that is a volume of air .",60.0,65.0,70.0
"With pigeons, he developed the ideas of ""operant conditioning"" and ""shaping behavior.""",45.0,5.0,77.0
bad if ur apart for too long it could turn out bad,15.0,0.0,10.0
">>Ron Panzer is the founder and President of Hospice Patients Alliance : a nurse , whistleblower and ardent patient advocate , Ron authored the Hospice Patients Alliance Family Guide to Hospice Care and most of the articles on the website at < http://www.hospicepatients.org/ > www.hospicepatients.org",40.0,25.0,67.0
"(Sorry, Jermaine, you're not on the list.)",42.0,62.0,30.0
The agency's inspector general's office has just released documents that were part of its probe into its failures on the Madoff affair.,70.0,70.0,53.0
We watch it on TV and in movies.,60.0,95.0,27.0
"6) Fun, right?",5.0,85.0,7.0
"After Afghan President Hamid Karzai fell short of the 50 percent required to avoid a runoff, a second round was hastily scheduled.",73.0,22.0,77.0
go to http://allrecipes.com they have thousands of cookies !,22.0,80.0,17.0
"Stop stealing iPods , buy your own , READ the manual ...",42.0,85.0,17.0
Find encryption software .,86.0,98.0,88.0
It launched streaming through Microsoft 's (Nasdaq: MSFT) Xbox Live a year ago.,42.0,60.0,57.0
It 's not the only salvo fired by Christian organizations in the ecology debate .,52.0,0.0,47.0
I got that bad in my first pregnancy .,28.0,78.0,47.0
"Interesting stuff , but what does all this have to do with gun control ?",42.0,85.0,17.0
"Hi Lucy , God bless .",18.0,90.0,13.0
why do you study this much,18.0,80.0,13.0
it would n't be a good idea,15.0,85.0,10.0
and no it does n't count as sexually active .,65.0,100.0,17.0
It 's expensive but worth every penny .,20.0,0.0,40.0
"We have invited Michael Van Randen to attend , ( he is the person who keeps e - mailing ) and Victoria Brown , President of the NAOTD.",46.0,70.0,62.0
They do n't function without it !,60.0,20.0,27.0
"The short counter - point to this and the statement "" the physical and biological performance measures and targets used to evaluate "" is that no system - wide measures and targets have been set , thus no numerical evaluation is possible .",34.0,65.0,87.0
Smelly is bad .,12.0,70.0,0.0
Yancey as our new Superintendent of Marion County .,28.0,65.0,58.0
It 's a very easily transmissable virus .,28.0,0.0,60.0
"Yet , the St. Petersburg Regional Office freely violates Title 18 Section 1001 on almost every Veterans case .",42.0,68.0,67.0
Our law enforcement agents annually join forces with local law enforcement in Daytona and Panama City to combat underage drinking and false identification activity .,74.0,75.0,77.0
"I can only imagine how deeply these reports will be buried and we will be spending more money investigating nursing homes in an effort to improve them , but we wo n't have access , so why survey at all ?",28.0,0.0,60.0
"We request that our concerns and comments be read , considered , addressed , and added to the public record .",70.0,0.0,93.0
It 's been difficult without his dad but he 's doing well .,12.0,70.0,23.0
Keep the thumb in constant contact with the spool to prevent backlash .,72.0,0.0,73.0
"IF not , then you ' ll know",28.0,63.0,13.0
try a good homyopath if possible .,15.0,0.0,27.0
We only give the best for what belongs to God .,60.0,70.0,53.0
